2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:36 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:37 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:37 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:37 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:37 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:37 status half-configured monit:armhf 1:5.6-2
2000-01-01 01:05:37 status installed monit:armhf 1:5.6-2
2000-01-01 01:05:37 configure ssh-import-id:all 3.21-0ubuntu1 <none>
2000-01-01 01:05:37 status unpacked ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:38 status unpacked ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:38 status half-configured ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:38 status installed ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:38 trigproc libc-bin:armhf 2.19-0ubuntu6 <none>
2000-01-01 01:05:38 status half-configured libc-bin:armhf 2.19-0ubuntu6
2000-01-01 01:05:38 status installed libc-bin:armhf 2.19-0ubuntu6
2000-01-01 01:05:39 trigproc ca-certificates:all 20130906ubuntu2 <none>
2000-01-01 01:05:39 status half-configured ca-certificates:all 20130906ubuntu2
2000-01-01 01:05:48 status installed ca-certificates:all 20130906ubuntu2
2000-01-01 01:05:48 trigproc python-support:all 1.0.15 <none>
2000-01-01 01:05:48 status half-configured python-support:all 1.0.15
2000-01-01 01:05:49 status installed python-support:all 1.0.15
